datetime,co,no2,o3,pm10,pm25,so2
2023-05-17 08:00:00+00:00,0.9,12.75,55.05,18.2,7.55,30.75
2023-05-17 09:00:00+00:00,0.9,15.6,57.2,22.700000000000003,9.9,37.15
2023-05-17 10:00:00+00:00,0.9,9.6,62.7,22.05,10.0,23.55
2023-05-17 11:00:00+00:00,0.8,5.8,79.0,19.35,9.3,15.649999999999999
2023-05-17 12:00:00+00:00,0.75,4.9,87.55000000000001,14.600000000000001,7.05,12.4
2023-05-17 13:00:00+00:00,0.7000000000000001,5.949999999999999,88.6,14.8,6.5,12.899999999999999
2023-05-17 14:00:00+00:00,0.75,12.3,76.9,23.05,9.5,19.3
2023-05-17 15:00:00+00:00,0.8999999999999999,22.25,58.3,24.4,10.75,23.6
2023-05-17 16:00:00+00:00,0.9500000000000001,16.95,67.3,16.6,8.05,12.65
2023-05-17 17:00:00+00:00,1.0,12.75,63.65,15.5,8.35,12.899999999999999
2023-05-17 18:00:00+00:00,1.05,10.55,48.8,15.7,9.85,12.100000000000001
2023-05-17 19:00:00+00:00,1.9,25.7,45.9,13.95,9.55,11.899999999999999
2023-05-17 20:00:00+00:00,1.9,11.85,42.5,15.95,11.8,10.5
